	locus_tag	b_median	ctl_pos	d_median	trt_pos	annotation	startpos
4514	ECs1294	0.9449178153513201	False	0.1414816675356551	True	hypothetical protein	1364832
4507	ECs1295	0.9436484795366437	False	0.18863041841114112	True	hypothetical protein	1366151
4503	ECs1296	0.9453480809420762	False	0.16061185387190546	True	hypothetical protein	1366936
4351	ECs1299	0.9457238612073567	False	0.12958593042587369	True	integrase	1370629
4350	ECs1300	0.9553361282913471	False	0.1308496865619435	True	hypothetical protein	1372018
4343	ECs1301	0.9503047163422953	False	0.16254438876486121	True	transposase	1374331
4342	ECs1302	0.9491317228239259	False	0.1432487929173396	True	regulatory protein	1374947
4335	ECs1303	0.9480381381368752	False	0.1301946584047215	True	hypothetical protein	1375886
4330	ECs1304	0.946557486746454	False	0.14373694550504318	True	hypothetical protein	1378092
4329	ECs1305	0.945482004523158	False	0.0919021912105483	True	hypothetical protein	1378810
4317	ECs1312	0.9499116070098264	False	0.1304375924241294	True	complement resistance protein	1385490
4305	ECs1315	0.9492388010896794	False	0.09559923650156132	True	hypothetical protein	1386925
4300	ECs1316	0.954738304714792	False	0.07350525425128696	True	diacylglycerol kinase	1387535
4292	ECs1317	0.9482722867721398	False	0.10418685341551723	True	outer membrane protein	1387987
4289	ECs1319	0.9463317860061312	False	0.14175648648923808	True	hypothetical protein	1389831
4281	ECs1320	0.9476560633879503	False	0.09739703908271026	True	hypothetical protein	1390158
4279	ECs1321	0.9445112090945529	False	0.1679587246239589	True	hypothetical protein	1390442
4128	ECs1322	0.9447680365193267	False	0.1531302238588358	True	urease subunit gamma	1391276
4121	ECs1323	0.9445149875626142	False	0.17019733780658386	True	urease subunit beta	1391587
4120	ECs1324	0.9461027341728128	False	0.13445706410617334	True	urease subunit alpha	1391897
4119	ECs1325	0.9432790806507941	False	0.13090894447205553	True	urease accessory protein UreE	1393613
4113	ECs1326	0.9447945940908566	False	0.17864495340498393	True	UreF	1394078
4112	ECs1327	0.9451321480232793	False	0.16440921514684576	True	protein UreG	1394764
4102	ECs1330	0.946506682297903	False	0.1455100542597072	True	50S ribosomal protein L31	1396593
4082	ECs1335	0.9406785622613336	False	0.13534364015227318	True	hypothetical protein	1399916
4065	ECs1337	0.933473150696885	False	0.24488202244458757	True	hypothetical protein	1401179
4062	ECs1338	0.9486631286152296	False	0.1626105417197114	True	hypothetical protein	1401601
4061	ECs1339	0.9498731023148521	False	0.15898608446993595	True	hypothetical protein	1401982
4055	ECs1340	0.9376967710567111	False	0.2429876528517908	True	hypothetical protein	1403599
3863	ECs1343	0.9424173313590856	False	0.1397819253902221	True	TerW protein	1405456
3856	ECs1344	0.9479313054812982	False	0.15595996685686003	True	hypothetical protein	1405941
3854	ECs1345	0.9427983575451013	False	0.1515927053160358	True	hypothetical protein	1407160
3846	ECs1347	0.9492525686002593	False	0.1698341451537161	True	hypothetical protein	1408852
3838	ECs1348	0.9439161798443481	False	0.16177355442878166	True	hypothetical protein	1409198
501	ECs1397	0.9421034131018482	False	0.14355184041748625	True	hypothetical protein	1447109
485	ECs1401	0.8940472297496906	False	0.11251930669169405	True	hypothetical protein	1451802
482	ECs1402	0.9344234480431366	False	0.07135922351277094	True	hypothetical protein	1452711
453	ECs1408	0.9512534538988653	False	0.0636175237478887	True	hypothetical protein	1455430
451	ECs1409	0.9427922962804192	False	0.16025536987644856	True	hypothetical protein	1455712
432	ECs1780	0.9501307595651849	False	0.16219487990721004	True	DNA methylase	1772842
1969	ECs1800	0.9483252844202812	False	0.07195538608557116	True	major tail subunit	1789012
3649	ECs1812	0.9502304423714842	False	0.2957108525672606	True	hypothetical protein	1801540
3650	ECs1813	0.9480754270278293	False	0.30362284630526515	True	integrase	1803526
3659	ECs1814	0.9466986789015963	False	0.3555506389432661	True	hypothetical protein	1804692
3463	ECs1821	0.9683901244089452	False	0.2531449706997563	True	hypothetical protein	1809856
3660	ECs1824	0.9644535026916073	False	0.22953021778771787	True	hypothetical protein	1810845
3661	ECs1825	0.9499476030949132	False	0.28833797267491057	True	bfpT-regulated chaperone-like protein	1811676
3975	ECs1975	0.9469149061826072	False	0.07602672173148975	True	hypothetical protein	1953689
4223	ECs2192	0.961010861587583	False	0.09151825276886855	True	hypothetical protein	2190644
1982	ECs2240	0.9477084193896597	False	0.06160195784909754	True	tail length tape measure protein	2219960
1961	ECs2246	0.9491617825154097	False	0.037637672590004195	True	head-tail adaptor	2225510
172	ECs2248	0.9488225001912742	False	0.128293348418763	True	portal protein	2226199
1950	ECs2254	0.9472965105333906	False	0.07591071442206124	True	Dnase	2233502
3102	ECs2797	0.8895986658483539	False	0.04682751514402675	True	hypothetical protein	2743949
4012	ECs2967	0.9470214713726852	False	0.042129006801535515	True	antirepressor protein	2919758
3223	ECs3498	0.9387572953804447	False	0.1357532622398018	True	hypothetical protein	3484251
549	ECs3868	0.9676859067354424	False	0.12721942158773542	True	hypothetical protein	3872936
364	ECs3869	0.9565609492294067	False	0.09245035427759342	True	hypothetical protein	3873499
780	ECs4325	0.8730287125047069	False	0.10369715495044203	True	O-methyltransferase	4332998
752	ECs4329	0.8097155155330036	False	0.08303106715031978	True	acyl carrier protein	4335884
734	ECs4333	0.8902424837326897	False	0.45879035707538995	True	hypothetical protein	4338410
718	ECs4335	0.7722571419707931	False	0.12266885546339777	True	hypothetical protein	4340509
512	ECs4339	0.794903812521682	False	0.20970494975897347	True	beta-hydroxydecanoyl-ACP dehydrase	4345150
507	ECs4341	0.7910808028159297	False	0.13289995501833773	True	3-oxoacyl-ACP synthase	4346342
1887	ECs4353	0.8114109620623842	False	0.05527536053960887	True	sugar kinase	4356742
1885	ECs4354	0.8118703526117244	False	0.16471993351585845	True	phosphotransferase system HPr enzyme	4358240
1856	ECs4379	0.9435044974294882	False	0.09110587519537483	True	hypothetical protein	4388386
1851	ECs4380	0.9454454534274346	False	0.06109169017583316	True	heme utilization/transport protein	4389463
1842	ECs4381	0.9475780343249276	False	0.05420839776063015	True	hypothetical protein	4391721
1839	ECs4382	0.9420312788586744	False	0.11203788002637591	True	hemin binding protein	4392050
1837	ECs4383	0.9456153176741846	False	0.06968028012411712	True	coproporphyrinogen III oxidase	4393062
1831	ECs4384	0.9465336327855921	False	0.09854459964008433	True	ShuX-like protein	4394412
1828	ECs4385	0.9445019573127388	False	0.09796668206710571	True	ShuY-like protein	4394906
1822	ECs4386	0.9434091244872649	False	0.10844083208947268	True	hemin permease	4395614
1818	ECs4387	0.9480499456617887	False	0.05088182717389292	True	hemin importer ATP-binding protein	4396567
5690	ECs4971	0.7847402244230057	False	0.43255196531682916	True	hypothetical protein	5057187
3068	ECs5307	0.9427784086158488	False	0.05277093060868871	True	type I restriction modification enzyme M subunit	5439606
3077	ECs5593	0.9369589464235156	False	0.06541506124982074	True	endoribonuclease SymE	5437290
3128	pO157p01	0.9448431085068252	False	0.03152555501104516	True	ToxR-regulated lipoprotein	0
3117	pO157p03	0.9438863044943069	False	0.04278418080327169	True	EtpD	3674
2885	pO157p05	0.9419981917724822	False	0.04771205191638697	True	EtpF	6938
2881	pO157p06	0.942176128663252	False	0.03916476694467881	True	EtpG	8192
2874	pO157p08	0.940078349750593	False	0.052343243268363385	True	EtpI	9192
3165	pO157p78	0.9420914290087632	False	0.1034222642460765	True	EspP	80756
3151	pO157p79	0.9481236841837457	False	0.0854135054977317	True	hypothetical protein	87221
3144	pO157p80	0.9427366159710869	False	0.0904730685745885	True	RfbU-like protein	87658
3143	pO157p81	0.9459547473454666	False	0.05591698968467261	True	hypothetical protein	88854
3138	pO157p82	0.9439975734379665	False	0.10317969469353264	True	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase	90649
