all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
A_07_P010281,1,3943.124,0.8484772,2801.085,1,3871.152,0.9153607,2815.717,1,3232.635,1.0763049,3222.111,predicted IS protein [b4505],insX,pseudo,,chr:279564-279505,1450237,ABE-0285026
A_07_P010300,0.99999994,2364.503,1.0412456,2061.288,1,2470.855,0.93650776,1838.718,1,2405.279,0.8872893,1976.42,"predicted protein, N-ter fragment (pseudogene) [b4507]",,,,chr:547654-547713,,ABE-0285028
A_07_P010314,0.99999994,4566.205,1.115642,4265.068,1,4734.794,1.0687617,4021.041,1,3917.963,1.1707228,4247.789,conserved protein [b4511],ybdZ,conserved protein,GO:0005737(cytoplasm),chr:613170-613229,1450243,ABE-0285032
A_07_P010317,1,7148.845,1.0529546,6302.186,1,7486.044,1.0231992,6086.52,1,6473.424,1.1130695,6672.75,conserved protein [b4512],ybdD,conserved protein,GO:0005737(cytoplasm),chr:631454-631513,949021,ABE-0285033
A_07_P010326,1,6988.979,0.9850344,5763.825,1,6541.778,1.0735747,5580.647,0.99999994,5946.346,0.98149294,5404.878,predicted transposase [b4514],ybfQ,predicted transposase,,chr:735858-735917,1450245,ABE-0285035
A_07_P010343,1,1217.298,1.32612,1351.529,1,1298.368,1.2927587,1333.742,1,938.0638,1.226985,1065.909,predicted regulator of phosphatidylethanolamine synthesis [b4517],gnsA,predicted regulator of phosphatidylethanolamine synthesis,GO:0005737(cytoplasm),chr:1051392-1051451,1450249,ABE-0285038
A_07_P010350,1,2416.832,1.1729565,2373.417,1,2257.726,1.1505121,2064.044,1,2010.835,1.0417067,1939.86,conserved protein [b4518],ymdF,conserved protein,GO:0005737(cytoplasm),chr:1067352-1067411,945598,ABE-0285039
A_07_P010359,1,4463.501,0.99796504,3729.38,1,3697.887,1.2310082,3617.188,1,3361.866,0.9288087,2891.713,predicted protein [b4520],ymgF,predicted protein,GO:0016021(integral to membrane),chr:1218364-1218423,1450253,ABE-0285041
A_07_P010383,1,1659.829,1.4167753,1968.838,1,1782.49,1.3347446,1890.522,1,1424.774,1.3021165,1718.084,predicted protein [b4523],yciX,hypothetical protein,GO:0005737(cytoplasm),chr:1333357-1333416,1450257,ABE-0285044
A_07_P010386,0.99999994,2061.948,1.2788332,2207.686,1,1930.022,1.345684,2063.773,1,1834.321,1.0015912,1701.431,Rac prophage; conserved protein [b4526],ydaE,Rac prophage; conserved protein,GO:0005737(cytoplasm),chr:1415935-1415876,948959,ABE-0285047
A_07_P010395,1,3793.615,1.4315196,4546.699,1,3611.725,1.3546151,3887.65,0.99999994,2501.797,1.6989224,3936.173,Rac prophage; predicted protein [b4527],ydaF,Rac prophage; predicted protein,GO:0005737(cytoplasm),chr:1417274-1417215,945911,ABE-0285048
A_07_P010409,1,3206.75,1.5673735,4208.073,1,3453.813,1.3577554,3726.292,1,3468.041,1.1764767,3778.471,predicted protein [b4529],ydbJ,predicted protein,GO:0009279(cell outer membrane),chr:1439177-1439236,4056027,ABE-0285050
A_07_P010420,1,2251.062,1.4749415,2779.764,1,2497.922,1.3454641,2670.592,1,2203.094,1.2876668,2627.151,"predicted transposase, C-ter fragment (pseudogene) [b4530]",,,,chr:1501280-1501221,,ABE-0285051
A_07_P010421,1,2127.408,1.1232281,2000.619,0.99999994,2036.73,1.3015645,2106.472,0.99999994,1708.65,1.3101447,2073.103,"predicted transposase, N-ter fragment (pseudogene) [b4531]",,,,chr:1501467-1501408,,ABE-0285052
A_07_P010429,1,1495.884,1.3761873,1723.539,0.99999994,1397.516,1.4673036,1629.421,1,1362.518,1.3125823,1656.217,predicted protein [b4532],yncN,predicted protein,,chr:1507427-1507486,945989,ABE-0285053
A_07_P010448,1,987.5189,1.3783618,1139.605,1,1010.545,1.3671265,1097.794,1,885.3854,1.2755431,1045.866,Qin prophage; predicted protein [b4533],ynfO,"hypothetical protein, Qin prophage",,chr:1634915-1634974,1450267,ABE-0285054
A_07_P010464,1,1405.218,1.2739183,1498.756,1,1500.853,1.1867721,1415.344,1,1193.617,1.2042376,1331.146,predicted protein [b4536],yobH,predicted protein,,chr:1907111-1907170,1450271,ABE-0285057
A_07_P010476,1,2051.707,1.4172342,2434.46,1,2243.989,1.2190804,2173.75,1,1997.62,1.2003881,2220.665,predicted protein [b4537],yecJ,predicted protein,GO:0005737(cytoplasm),chr:1985686-1985627,946388,ABE-0285058
A_07_P010484,0.99999994,1241.026,1.1135492,1157.007,1,1141.492,1.1648779,1056.598,1,1016.675,1.0782261,1015.174,toxin of the YoeB-YefM toxin-antitoxin system [b4539],yoeB,toxin of the YoeB-YefM toxin-antitoxin system,GO:0005737(cytoplasm),chr:2087476-2087417,1450274,ABE-0285060
A_07_P010486,1,4642.205,1.2030426,4675.747,1,4402.797,1.2564698,4395.793,0.99999994,3652.818,1.1468637,3879.613,"lipopolysaccharide biosynthesis protein, C-ter fragment (pseudogene) [b4540]",,,,chr:2099602-2099543,,ABE-0285061
A_07_P010497,1,3804.763,1.0704406,3409.855,1,3738.475,1.0729876,3187.467,1,3315.138,1.081025,3318.837,predicted protein [b4541],yehK,predicted protein,GO:0005737(cytoplasm),chr:2202138-2202197,4056035,ABE-0285062
A_07_P010530,1,1728.658,1.037693,1501.84,1,1719.36,1.003813,1371.438,1,1386.313,1.0810704,1387.918,predicted protein [b4546],ypeB,predicted protein,GO:0005737(cytoplasm),chr:2526163-2526104,1450285,ABE-0285067
A_07_P010535,1,4979.648,1.0361582,4319.867,0.99999994,4979.217,1.0760146,4257.315,1,4778.06,0.9916118,4387.749,predicted protein [b4547],ypfN,predicted protein,GO:0031225(anchored to membrane),chr:2590808-2590867,1450286,ABE-0285068
A_07_P010547,1,7096.352,0.9118924,5417.818,1,6362.099,0.977206,4940.183,1,5406.681,1.0538976,5276.886,predicted protein [b4548],ypjJ,predicted protein,GO:0005737(cytoplasm),chr:2774957-2775016,1450287,ABE-0285069
A_07_P010568,1,8643.598,0.7788124,5636.027,1,7550.156,0.8710733,5225.972,1,6633.8,0.77209705,4743.324,"predicted protein, C-ter fragment (pseudogene) [b4549]",,,,chr:3364875-3364934,,ABE-0285070
A_07_P010578,1,1276.354,0.8863787,947.1878,1,1392.172,0.81623435,902.9512,1,1164.889,0.6015884,648.9819,conserved protein [b4550],yhdL,conserved protein,GO:0005737(cytoplasm),chr:3436512-3436453,1450289,ABE-0285071
A_07_P010582,1,6246.615,0.87395567,4570.67,1,6313.959,0.8317235,4172.893,1,6030.168,0.7614707,4252.371,predicted protein [b4551],yheV,predicted protein,GO:0005737(cytoplasm),chr:3476727-3476668,1450290,ABE-0285072
A_07_P010595,1,2127.974,0.80601764,1436.007,0.99999994,2256.543,0.714408,1280.992,1,2122.541,0.81028616,1592.733,predicted protein [b4553],ysaB,predicted protein,GO:0009279(cell outer membrane),chr:3723512-3723453,1450292,ABE-0285074
A_07_P010599,1,4089.738,0.7574052,2593.4,1,4251.167,0.69895756,2361.106,1,3774.572,0.6976404,2438.641,predicted protein [b4554],yibT,predicted protein,GO:0005737(cytoplasm),chr:3774280-3774221,1450299,ABE-0285075
A_07_P010602,1,1657.2,0.77803445,1079.492,1,1897.077,0.68472874,1032.191,1,1684.375,0.6399187,998.1875,predicted protein [b4555],yicS,predicted protein,,chr:3838413-3838472,1450300,ABE-0285076
A_07_P010606,0.99999994,4140.089,0.6897301,2390.752,1,4335.244,0.63377804,2183.269,1,3835.937,0.72722167,2583.371,C-terminal fragment of predicted 6-phospho-beta-glucosidase (pseudogene) [b4556],glvG,pseudo,GO:0009435(NAD biosynthetic process)|GO:0016052(carbohydrate catabolic process),chr:3859255-3859196,1450301,ABE-0285077
A_07_P021528,1,6035.4,0.6984145,3529.108,1,6213.256,0.6407786,3163.616,1,5686.738,0.685512,3610.163,predicted protein [b4557],yidD,predicted protein,GO:0005737(cytoplasm),chr:3882984-3883043,1450303,ABE-0285078
A_07_P010621,0.99999994,5568.197,0.73215604,3413.217,1,5923.555,0.69263566,3260.197,1,5075.14,0.7385916,3471.37,predicted lipoprotein [b4558],yifL,predicted lipoprotein,,chr:3992545-3992604,1450304,ABE-0285079
A_07_P010650,1,4901.264,0.7717757,3166.977,1,4938.031,0.80075645,3142.033,1,4072.159,0.79067147,2981.737,predicted protein [b4559],yjdO,predicted protein,GO:0016021(integral to membrane),chr:4351008-4351067,1450308,ABE-0285080
A_07_P010661,1,6691.102,0.7713878,4321.317,1,5989.51,0.87447834,4161.95,1,5303.113,0.7744788,3803.548,"KpLE2 phage-like element; predicted protein, C-ter fragment (pseudogene) [b4560]",,,,chr:4497764-4497705,,ABE-0285081
A_07_P010669,1,3775.869,0.79229087,2504.651,1,3241.873,0.90990686,2343.956,1,3069.945,0.76933545,2187.232,KpLE2 phage-like element; predicted transposase fragment (pseudogene) [b4562],,,,chr:4507730-4507789,,ABE-0285083
A_07_P010678,0.99999994,18052.59,0.89901406,13587.88,1,18595.88,0.9668795,14287.15,1,16476.89,0.9309833,14205.8,"IS1 transposase InsAB', C-ter fragment (pseudogene) [b4564]",,,,chr:4517188-4517247,,ABE-0285085
A_07_P010684,1,6540.909,0.73375946,4018.255,1,5432.939,0.92899036,4010.537,1,4435.396,0.9281486,3812.4,predicted enzyme IIB component of PTS [b4565],sgcB,predicted enzyme IIB component of PTS,GO:0005737(cytoplasm),chr:4528425-4528366,1450295,ABE-0285086
A_07_P010688,1,1486.763,0.8329339,1036.807,1,1555.828,0.8958002,1107.463,0.99999994,1617.387,0.8062345,1207.602,conserved protein [b4566],yjhX,conserved protein,,chr:4531930-4531871,1450297,ABE-0285087
A_07_P010691,1,6972.97,0.84748405,4947.605,1,7056.107,0.8788894,4927.832,1,5955.27,0.8662992,4777.689,predicted protein [b4567],yjjZ,predicted protein,GO:0016021(integral to membrane),chr:4603941-4604000,1450313,ABE-0285088
A_07_P010696,1,3871.918,0.80622697,2613.54,1,3802.859,0.78117263,2360.553,0.99999994,3441.942,0.7779788,2479.818,predicted protein [b4568],ytjA,predicted protein,GO:0016021(integral to membrane),chr:4610243-4610302,1450298,ABE-0285089
A_07_P010370,1,4211.695,1.0126232,3570.676,1,4029.061,1.0879697,3483.19,1,3269.559,1.0739439,3251.766,hypothetical protein [b4594],ymgJ,hypothetical protein,,chr:1222611-1222670,5061516,ABE-0285151
A_07_P010364,1,1483.992,1.090556,1354.956,1,1325.744,1.1824666,1245.676,1,988.3907,1.2871286,1178.146,hypothetical protein [b4593],ymgI,hypothetical protein,,chr:1222327-1222268,5061515,ABE-0285152
A_07_P048658,1,417.6677,1.6491846,576.6945,1,194.7877,3.4299972,530.8989,1,269.696,1.4039588,350.6529,fertility inhibition protein (conjugal transfer repressor) [L7001],finO,conjugal transfer repressor,,,3683668,ABH-0243997
A_07_P048661,1,262.4452,1.118893,245.8515,1,109.4142,2.7199028,236.4741,1,111.2438,1.3201972,136.0076,unknown [L7002],L7002,hypothetical protein,,,3683669,ABH-0243999
A_07_P048669,1,914.0447,1.4505197,1110.035,0.99999994,336.3017,3.574157,955.1228,1,534.2613,1.5239085,753.9822,hypothetical protein 15.6 kDa protein in finO 3' region precursor [L7003],L7003,15.6 kDa protein in finO 3' region precursor,,,3683670,ABH-0244001
A_07_P048671,1,1281.065,1.5512086,1663.746,1,497.981,3.676169,1454.671,1,730.4449,1.1675073,789.7608,putative hemolysin expression modulating protein [L7004],L7004,putative hemolysin expression-modulating protein,,,3683671,ABH-0244003
A_07_P048677,1,476.2663,1.512814,603.2274,1,210.7316,3.0897846,517.3857,1,333.9015,1.2942352,400.2028,hypothetical protein [L7005],L7005,hypothetical protein,,,3683672,ABH-0244005
A_07_P048684,1,91.2893,1.7197697,131.4425,0.99999994,57.37481,2.472059,112.7033,1,58.91691,1.5620794,85.22982,CopB protein (RepA2 protein) [L7006],cpb2,RepA2 protein,,,3683697,ABH-0244010
A_07_P048689,1,242.1612,1.8340775,371.8501,1,123.8807,2.9039958,285.8618,1,157.8594,1.8056515,263.969,replication initiation protein [L7008],rep2,replication initiation protein,,,3683699,ABH-0244014
A_07_P048693,1,287.0988,1.7207139,413.6049,1,150.1245,3.1666174,377.7493,1,227.576,1.4145292,298.1171,replication protein [L7009],L7009,replication protein,,,3683700,ABH-0244019
A_07_P048698,1,779.0526,1.4891695,971.3071,1,309.2879,3.3111176,813.7557,1,379.7577,1.5475318,544.2453,unknown [L7010],L7010,hypothetical protein,,,3683701,ABH-0244022
A_07_P048704,1,700.9744,1.3366344,784.4413,1,240.5532,3.268052,624.6786,1,344.6928,1.613208,514.9572,hypothetical protein [L7011],L7011,hypothetical protein,,,3683702,ABH-0244023
A_07_P048706,1,1283.892,1.366442,1468.809,0.99999994,511.669,2.7243888,1107.681,1,786.1529,1.1557113,841.4046,unknown [L7012],L7012,hypothetical protein,,,3683703,ABH-0244025
A_07_P048711,1,793.5713,1.4380028,955.4135,0.99999994,290.5842,3.2384782,747.7725,1,439.765,1.2336022,502.3939,transposase (partial) [L7013],L7013,,,,3683704,ABH-0244027
A_07_P048720,1,436.6609,1.8298076,668.9527,1,182.653,3.5442164,514.403,1,398.6328,1.6285677,601.2116,transposase [L7015],L7015,transposase,,,3683714,ABH-0244031
A_07_P048725,1,276.0943,1.1558201,267.1735,1,102.6444,3.1112728,253.7639,0.99999994,235.2023,1.5603213,339.8632,unknown [L7016],L7016,hypothetical protein,,,3683715,ABH-0244033
A_07_P048729,0.99999994,264.0287,1.5920424,351.9261,1,139.8859,2.9072292,323.1541,0.99999994,160.0889,2.3033853,341.4887,bifunctional catalase/peroxidase [L7017],katP,EHEC-catalase/peroxidase,,,3683716,ABH-0244036
A_07_P048731,1,350.8318,1.8471444,542.5571,1,188.0268,3.1057396,464.0249,1,250.5698,1.986409,460.9416,predicted cytochrome [L7018],L7018,hypothetical protein,,,3683717,ABH-0244038
A_07_P048736,1,311.7472,2.9435036,768.2681,0.99999994,157.5918,3.7179327,465.5772,1,217.6137,2.997865,604.1528,extracellular serine protease [L7020],espP,putative exoprotein-precursor,,,3683719,ABH-0244043
A_07_P048741,1,517.0092,2.5503,1103.914,1,228.385,3.2833323,595.8527,1,369.6846,2.277555,779.7381,transposase [L7022],insA,transposase,,,3683721,ABH-0244046
A_07_P048749,0.99999994,687.896,1.9567953,1126.974,0.99999994,365.9575,2.8377097,825.1922,1,489.0518,1.8477784,836.8609,hypothetical protein [L7023],L7023,hypothetical protein,,,3683722,ABH-0244047
A_07_P048755,1,281.9811,2.7197514,642.0885,1,125.5723,3.9125311,390.3985,1,184.3808,2.6531048,453.0213,unknown [L7025],L7025,hypothetical protein,,,3683724,ABH-0244050
A_07_P048757,1,501.6951,2.9095547,1222.115,1,238.8189,3.9532444,750.2031,1,385.1431,2.1195343,755.9814,polysaccharide deacetylase [L7026],L7026,hypothetical protein,,,3683725,ABH-0244052
A_07_P048762,1,498.7393,2.5001056,1043.945,1,196.2693,3.619068,564.4242,1,279.317,2.5645134,663.3624,"UDP-N-acetylglucosamine:(heptose) LPS alpha-1,7-N-acetylglucosamine transferase [L7027]",L7027,hypothetical protein,,,3683726,ABH-0244054
A_07_P048767,1,860.199,2.5543766,1839.626,1,336.8639,3.4800017,931.5162,1,832.725,1.4259958,1099.685,phosphoethanolamine phosphotransferase [L7028],L7028,hypothetical protein,,,3683727,ABH-0244056
A_07_P048772,0.99999994,251.9067,3.165384,667.593,1,121.4044,3.9521315,381.261,1,171.5358,2.6766832,425.2069,lipid A myristoyl transferase [L7029],L7029,lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase,,,3683728,ABH-0244057
A_07_P048777,0.99999994,463.5155,2.5037076,971.6136,1,168.5038,5.0019655,669.7411,0.99999994,254.6397,2.1302924,502.3586,unknown [L7030],L7030,hypothetical protein,,,3683729,ABH-0244058
A_07_P048783,0.99999994,881.7549,1.8489549,1364.96,0.99999994,357.4345,3.1817234,903.6816,1,403.0505,2.2196095,828.4848,zinc metalloprotease [L7031],L7031,hypothetical protein,,,3683730,ABH-0244060
A_07_P048790,1,768.3783,1.8101441,1164.485,0.99999994,306.7766,3.5042422,854.2262,1,378.6705,1.7579577,616.4792,type II secretion protein [L7032],etpC,type II secretion protein,,,3683731,ABH-0244061
A_07_P048792,1,319.6962,2.5420806,680.4128,1,193.187,2.8747385,441.2988,1,198.7714,2.34034,430.8056,type II secretion protein [L7033],etpD,type II secretion protein,,,3683732,ABH-0244063
A_07_P048796,1,219.7101,2.4963048,459.1909,0.99999994,125.3044,2.9047258,289.2198,0.99999994,133.0772,2.3610513,290.9763,type II secretion protein [L7034],etpE,type II secretion protein,,,3683733,ABH-0244064
A_07_P048801,1,668.4344,2.2652235,1267.697,1,364.5225,2.7017717,782.5814,1,389.746,2.2632215,816.8782,type II secretion protein [L7035],etpF,type II secretion protein,,,3683734,ABH-0244065
A_07_P048809,1,348.6884,2.1371477,623.9039,1,171.2491,2.981805,405.7552,1,187.9779,2.0866013,363.241,type II secretion protein [L7036],etpG,type II secretion protein,,,3683735,ABH-0244066
A_07_P048813,1,366.4908,2.0109534,617.0364,0.99999994,180.9855,2.931828,421.6371,1,194.0991,2.408898,433.0026,type II secretion protein [L7037],etpH,type II secretion protein,,,3683736,ABH-0244067
A_07_P048818,1,1141.01,2.0911498,1997.654,1,468.3916,3.5926223,1337.141,1,580.3376,1.8017353,968.3229,type II secretion protein [L7038],etpI,type II secretion protein,,,3683737,ABH-0244068
A_07_P048825,1,225.2242,2.6948328,508.1507,1,135.7904,2.8922718,312.0791,0.99999994,147.6853,2.06942,283.0313,type II secretion protein [L7039],etpJ,type II secretion protein,,,3683738,ABH-0244069
A_07_P048830,1,266.7954,2.449695,547.1873,0.99999994,154.9969,2.8580778,352.0089,1,163.8342,2.5174723,381.9599,type II secretion protein [L7040],etpK,type II secretion protein,,,3683739,ABH-0244070
A_07_P048834,1,353.2326,2.054871,607.7026,1,177.7166,2.9329777,414.184,1,199.7845,1.3467252,249.1663,type II secretion protein [L7041],etpL,type II secretion protein,,,3683740,ABH-0244072
A_07_P048838,1,1002.363,1.5837251,1329.078,1,392.6573,2.710247,845.6273,0.99999994,458.3591,1.2409695,526.7633,type II secretion protein [L7042],etpM,type II secretion protein,,,3683741,ABH-0244073
A_07_P048844,1,404.0952,2.016499,682.2246,1,201.8241,3.0731266,492.8445,1,240.7513,1.4775652,329.4305,type II secretion protein [L7043],etpN,type II secretion protein,,,3683742,ABH-0244074
A_07_P048849,1,1158.127,1.679129,1628.118,1,464.8922,2.9477994,1088.947,1,578.7639,1.0392336,557.0102,type II secretion protein [L7044],etpO,type II secretion protein,,,3683743,ABH-0244075
A_07_P051850,1,3853.184,0.9155917,2953.706,1,3284.413,1.0728989,2800.097,1,2996.576,0.65943265,1829.971,hypothetical protein [L7045],L7045,hypothetical protein,,,3683744,ABH-0244079
A_07_P048854,1,575.4603,1.6695085,804.3585,1,275.2445,2.9622383,647.8809,0.99999994,273.6929,1.2953877,328.331,acyltransferase [L7047],EHEC-hlyC,hemolysin transport protein,,,3683746,ABH-0244083
A_07_P048860,0.99999994,689.1774,0.77159595,445.2118,1,267.4777,2.6147373,555.7406,1,310.2959,1.1481498,329.931,enterohemolysin (EHEC hemolysin) [L7048],EHEC-hlyA,hemolysin toxin protein,,,3683747,ABH-0244084
A_07_P048864,1,1157.228,0.9275681,898.6911,1,466.9228,2.7599428,1024.004,1,526.6675,1.296254,632.2301,ABC transporter ATPase [L7049],EHEC-hlyB,hemolysin transport protein,,,3683748,ABH-0244086
A_07_P048869,1,719.9072,0.8976908,541.0644,0.99999994,316.0463,2.405792,604.1786,1,350.7639,1.2639673,410.5814,hemolysin transport protein [L7050],EHEC-hlyD,hemolysin transport protein,,,3683705,ABH-0244088
A_07_P048871,1,997.4554,1.0776917,899.9817,1,454.746,2.85034,1029.964,1,605.1302,1.2681458,710.6676,hypothetical protein [L7051],L7051,hypothetical protein,,,3683706,ABH-0244090
A_07_P048876,1,666.6668,1.236091,689.9299,1,307.0207,3.049029,743.8507,1,352.4147,1.6105292,525.6191,hypothetical protein [L7052],L7052,hypothetical protein,,,3683707,ABH-0244091
A_07_P048884,1,238.9749,1.3022137,260.5435,1,120.4648,2.921164,279.6228,0.99999994,141.0785,1.7308536,226.136,hypothetical serine-threonine protein kinase [L7053],L7053,putative serine-threonine protein kinase,,,3683708,ABH-0244093
A_07_P048890,1,978.7625,1.2085888,990.3794,1,399.2614,3.5616739,1129.973,1,1081.527,0.6565349,657.5726,replication protein [L7054],L7054,replication protein,,,3683709,ABH-0244095
A_07_P048893,1,1305.238,1.1095561,1212.508,1,489.4462,3.323957,1292.757,1,1486.538,0.5206917,716.8118,replication protein [L7055],L7055,replication protein,,,3683710,ABH-0244096
A_07_P048896,1,139.7262,1.4077533,164.6835,1,71.44742,2.8664656,162.7383,0.99999994,99.98548,1.5953518,147.7209,replication protein [L7056],L7056,replication protein,,,3683711,ABH-0244103
A_07_P048903,1,209.0614,1.2738044,222.9576,1,110.3667,2.7090404,237.5801,1,130.1185,1.5077949,181.6895,replication protein [L7057],L7057,replication protein,,,3683712,ABH-0244104
A_07_P048908,0.99999994,560.4952,1.1950749,560.8061,1,258.0035,2.9785838,610.6494,1,381.5086,1.3066703,461.6564,hypothetical protein [L7058],L7058,hypothetical protein,,,3683687,ABH-0244110
A_07_P048911,1,284.8582,1.2945572,308.7419,1,144.4274,2.9206374,335.1844,1,167.9713,1.6259356,252.9222,hypothetical protein [L7059],L7059,hypothetical protein,,,3683688,ABH-0244111
A_07_P048916,1,1021.963,1.1477897,982.0716,1,443.4848,2.7337132,963.3591,1,619.9334,1.5432463,885.99,hypothetical protein [L7060],L7060,hypothetical protein,,,3683689,ABH-0244112
A_07_P048923,1,403.6377,1.151455,389.1207,0.99999994,162.9943,3.101565,401.7074,1,227.5449,1.4642568,308.5552,hypothetical protein [L7061],L7061,hypothetical protein,,,3683690,ABH-0244113
A_07_P048930,0.99999994,629.7089,1.2470609,657.4658,1,288.5568,2.9159439,668.6009,1,408.938,1.3912833,526.8919,plasmid maintenance protein [L7062],ccdA,plasmid maintenance protein,,,3683691,ABH-0244115
A_07_P048933,1,913.8004,1.0019733,766.5723,1,318.4509,3.3280752,842.1553,1,418.3628,1.4291977,553.7247,plasmid maintenance protein [L7063],ccdB,plasmid maintenance protein,,,3683692,ABH-0244116
A_07_P048939,1,133.2582,1.3218595,147.4772,1,70.53799,3.1723208,177.8102,1,87.56397,1.6409109,133.0635,resolvase (protein d) [L7064],redF,protein D,,,3683693,ABH-0244117
A_07_P048943,1,505.7765,1.253646,530.8591,0.99999994,244.8274,3.0931687,601.7556,1,367.7085,1.1932131,406.3219,plasmid partitioning protein [L7068],sopA,plasmid-partitioning protein,,,3683673,ABH-0244130
A_07_P048946,1,1270.687,1.0760229,1144.737,1,510.1531,3.9448602,1599.148,1,585.5262,1.0084054,546.8019,plasmid partitioning protein [L7069],sopB,plasmid partitioning protein,,,3683674,ABH-0244135
A_07_P048953,1,368.9053,1.3168163,406.7109,1,170.516,3.1041276,420.5922,1,199.8208,2.3322353,431.5803,hypothetical protein [L7070],L7070,hypothetical protein,,,3683675,ABH-0244138
A_07_P048958,1,911.6245,1.1474665,875.7935,1,360.778,3.0648987,878.6436,0.99999994,521.7597,1.415466,683.9408,unknown [L7071],L7071,hypothetical protein,,,3683676,ABH-0244139
A_07_P048963,1,104.7369,1.2917154,113.2693,1,54.38189,2.6198585,113.211,1,58.90114,1.9544075,106.6074,unknown [L7072],L7072,hypothetical protein,,,3683677,ABH-0244140
A_07_P048969,1,703.5796,1.0088638,594.2804,1,262.4107,2.8194802,587.9049,1,358.4543,1.5747645,522.7547,unknown [L7073],L7073,hypothetical protein,,,3683678,ABH-0244142
A_07_P048974,1,688.3842,0.90003365,518.7228,1,235.7223,3.1348066,587.1756,1,261.9657,1.6791232,407.3573,hypothetical protein [L7074],L7074,hypothetical protein,,,3683679,ABH-0244143
A_07_P048979,1,747.0132,1.0544283,659.4638,1,342.0512,2.6047177,707.9593,1,447.542,1.245016,516.0089,unknown [L7075],L7075,hypothetical protein,,,3683680,ABH-0244144
A_07_P048982,1,321.9675,1.0077926,271.662,1,122.478,2.9317656,285.3276,0.99999994,163.135,1.3605644,205.5487,unknown [L7076],L7076,hypothetical protein,,,3683681,ABH-0244145
A_07_P048990,1,153.4639,1.3939319,179.0991,1,84.42289,2.7095542,181.7668,1,106.4199,1.8571708,183.0304,unknown [L7077],L7077,hypothetical protein,,,3683682,ABH-0244146
A_07_P048992,0.99999994,261.539,1.3640617,298.6869,0.99999994,131.2359,2.7942712,291.3921,1,178.4121,1.5828301,261.5213,unknown [L7078],L7078,hypothetical protein,,,3683683,ABH-0244147
A_07_P048996,1,781.4976,0.7644613,500.1829,0.99999994,320.4394,2.7424185,698.2905,1,315.0914,1.2718444,371.124,unknown [L7079],L7079,hypothetical protein,,,3683684,ABH-0244148
A_07_P049001,1,81.00744,1.5471367,104.9299,1,55.84844,2.6169105,116.1332,1,64.0514,1.7618756,104.5087,unknown [L7080],L7080,hypothetical protein,,,3683685,ABH-0244149
