gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|38704088|ref|NP_311351.2|	hypothetical protein ECs3324	ECs3324	NA
gi|15833547|ref|NP_312320.1|	gamma-glutamyltranspeptidase	ECs4293	ggt
gi|15833546|ref|NP_312319.1|	hypothetical protein ECs4292	ECs4292	NA
gi|15832744|ref|NP_311517.1|	transposase	ECs3490	NA
gi|15832899|ref|NP_311672.1|	23S rRNA 5-methyluridine methyltransferase	ECs3645	rumA
gi|15830968|ref|NP_309741.1|	outer membrane lipoprotein LolB	ECs1714	lolB
gi|15830969|ref|NP_309742.1|	glutamyl-tRNA reductase	ECs1715	hemA
gi|15830966|ref|NP_309739.1|	ribose-phosphate pyrophosphokinase	ECs1712	NA
gi|15830967|ref|NP_309740.1|	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	ECs1713	ipk
gi|15830964|ref|NP_309737.1|	hypothetical protein ECs1710	ECs1710	NA
gi|15830965|ref|NP_309738.1|	sulfate transporter YchM	ECs1711	NA
gi|15830962|ref|NP_309735.1|	GTP-dependent nucleic acid-binding protein EngD	ECs1708	NA
gi|15830963|ref|NP_309736.1|	peptidyl-tRNA hydrolase	ECs1709	NA
gi|15830960|ref|NP_309733.1|	hypothetical protein ECs1706	ECs1706	NA
gi|15830961|ref|NP_309734.1|	hypothetical protein ECs1707	ECs1707	NA
gi|15834247|ref|NP_313020.1|	hypothetical protein ECs4993	ECs4993	NA
gi|15830768|ref|NP_309541.1|	hypothetical protein ECs1514	ECs1514	NA
gi|15834245|ref|NP_313018.1|	tail fiber protein	ECs4991	NA
gi|15834244|ref|NP_313017.1|	tail fiber assembly protein	ECs4990	NA
gi|15834243|ref|NP_313016.1|	tail fiber	ECs4989	NA
gi|15834242|ref|NP_313015.1|	hypothetical protein ECs4988	ECs4988	NA
gi|15834241|ref|NP_313014.1|	hypothetical protein ECs4987	ECs4987	NA
gi|38704187|ref|NP_312548.2|	hypothetical protein ECs4521	ECs4521	NA
gi|15833607|ref|NP_312380.1|	sugar kinase	ECs4353	NA
gi|15834249|ref|NP_313022.1|	hypothetical protein ECs4995	ECs4995	NA
gi|15834248|ref|NP_313021.1|	hypothetical protein ECs4994	ECs4994	NA
gi|15829843|ref|NP_308616.1|	hypothetical protein ECs0589	ECs0589	NA
gi|15829842|ref|NP_308615.1|	cysteinyl-tRNA synthetase	ECs0588	cysS
gi|15829841|ref|NP_308614.1|	peptidyl-prolyl cis-trans isomerase B	ECs0587	NA
gi|15829840|ref|NP_308613.1|	UDP-2,3-diacylglucosamine hydrolase	ECs0586	NA
gi|15829847|ref|NP_308620.1|	chaperone	ECs0593	NA
gi|15829845|ref|NP_308618.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	ECs0591	NA
gi|15833591|ref|NP_312364.1|	lipoprotein	ECs4337	NA
gi|15834600|ref|NP_313373.1|	phosphoserine phosphatase	ECs5346	serB
gi|38704002|ref|NP_310375.2|	lysozyme inhibitor	ECs2348	NA
gi|15829849|ref|NP_308622.1|	protein SfmH	ECs0595	NA
gi|15829848|ref|NP_308621.1|	outer membrane protein	ECs0594	NA
gi|15834500|ref|NP_313273.1|	hypothetical protein ECs5246	ECs5246	NA
gi|15834160|ref|NP_312933.1|	50S ribosomal protein L11	ECs4906	rplK
gi|15831558|ref|NP_310331.1|	hypothetical protein ECs2304, partial	ECs2304	NA
gi|15831969|ref|NP_310742.1|	EspF-like protein	ECs2715	NA
gi|15831968|ref|NP_310741.1|	hypothetical protein ECs2714	ECs2714	NA
gi|15829449|ref|NP_308222.1|	hypothetical protein ECs0195	ECs0195	NA
gi|15829448|ref|NP_308221.1|	lipoprotein involved with copper homeostasis and adhesion	ECs0194	NA
gi|15829447|ref|NP_308220.1|	peptidyl-tRNA hydrolase domain-containing protein	ECs0193	NA
gi|15829446|ref|NP_308219.1|	hypothetical protein ECs0192	ECs0192	NA
gi|15829445|ref|NP_308218.1|	Rho-binding antiterminator	ECs0191	NA
gi|15829444|ref|NP_308217.1|	tRNA(Ile)-lysidine synthetase	ECs0190	tilS
gi|15829442|ref|NP_308215.1|	lysine decarboxylase 2	ECs0188	NA
gi|15829441|ref|NP_308214.1|	acetyl-CoA carboxylase carboxyltransferase subunit alpha	ECs0187	NA
gi|15829440|ref|NP_308213.1|	DNA polymerase III subunit alpha	ECs0186	dnaE
gi|15833439|ref|NP_312212.1|	50S ribosomal protein L3	ECs4185	rplC
gi|15833438|ref|NP_312211.1|	50S ribosomal protein L4	ECs4184	rplD
gi|15834300|ref|NP_313073.1|	hypothetical protein ECs5046	ECs5046	NA
gi|38704164|ref|NP_312261.2|	hypothetical protein ECs4234	ECs4234	NA
gi|15829289|ref|NP_308062.1|	carbamoyl phosphate synthase small subunit	ECs0035	NA
gi|15829288|ref|NP_308061.1|	dihydrodipicolinate reductase	ECs0034	NA
gi|15834304|ref|NP_313077.1|	hypothetical protein ECs5050	ECs5050	NA
gi|15834305|ref|NP_313078.1|	acetyl-CoA synthetase	ECs5051	NA
gi|15829285|ref|NP_308058.1|	FKBP-type peptidyl-prolyl cis-trans isomerase	ECs0031	NA
gi|15829284|ref|NP_308057.1|	lipoprotein signal peptidase	ECs0030	lspA
gi|15829287|ref|NP_308060.1|	ribonucleoside hydrolase RihC	ECs0033	NA
gi|15829286|ref|NP_308059.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ECs0032	ispH
gi|15829281|ref|NP_308054.1|	hypothetical protein ECs0027	ECs0027	NA
gi|15829280|ref|NP_308053.1|	30S ribosomal protein S20	ECs0026	rpsT
gi|15829283|ref|NP_308056.1|	isoleucyl-tRNA synthetase	ECs0029	ileS
gi|15829282|ref|NP_308055.1|	bifunctional riboflavin kinase/FMN adenylyltransferase	ECs0028	NA
gi|15830364|ref|NP_309137.1|	major head protein	ECs1110	NA
gi|15830365|ref|NP_309138.1|	hypothetical protein ECs1111	ECs1111	NA
gi|15830367|ref|NP_309140.1|	minor tail protein	ECs1113	NA
gi|15830360|ref|NP_309133.1|	terminase large subunit	ECs1106	NA
gi|15830361|ref|NP_309134.1|	portal protein	ECs1107	NA
gi|15830362|ref|NP_309135.1|	head-tail preconnector protein	ECs1108	NA
gi|15830363|ref|NP_309136.1|	head decoration protein	ECs1109	NA
gi|15833941|ref|NP_312714.1|	hypothetical protein ECs4687	ECs4687	yieM
gi|15833940|ref|NP_312713.1|	asparagine synthetase AsnA	ECs4686	NA
gi|15833943|ref|NP_312716.1|	potassium transport protein Kup	ECs4689	trkD
gi|15831416|ref|NP_310189.1|	tail assembly protein	ECs2162	NA
gi|15830368|ref|NP_309141.1|	tail length tape measure protein	ECs1114	NA
gi|15830369|ref|NP_309142.1|	minor tail protein	ECs1115	NA
gi|15833947|ref|NP_312720.1|	D-ribose transporter subunit RbsB	ECs4693	NA
gi|15833946|ref|NP_312719.1|	ribose ABC transporter permease	ECs4692	rbsC
gi|15833594|ref|NP_312367.1|	3-ketoacyl-ACP reductase	ECs4340	fabG
gi|15831845|ref|NP_310618.1|	chemotaxis protein CheZ	ECs2591	NA
gi|38704247|ref|NP_313240.2|	cytochrome b(562)	ECs5213	NA
gi|15833606|ref|NP_312379.1|	phosphotransferase system enzyme IIC	ECs4352	NA
gi|15834311|ref|NP_313084.1|	formate-dependent nitrite reductase complex subunit NrfF	ECs5057	NA
gi|15834166|ref|NP_312939.1|	protein HtrC	ECs4912	NA
gi|38704244|ref|NP_313210.2|	transposase	ECs5183	NA
gi|15831843|ref|NP_310616.1|	flagellar biosynthesis protein FlhA	ECs2589	flhA
gi|15834082|ref|NP_312855.1|	hypothetical protein ECs4828	ECs4828	NA
gi|10955309|ref|NP_052650.1|	hypothetical protein pO157p43	pO157p43	NA
gi|10955308|ref|NP_052649.1|	hypothetical protein pO157p42	pO157p42	klcA
gi|10955305|ref|NP_052646.1|	hypothetical protein pO157p39	pO157p39	NA
gi|10955304|ref|NP_052645.1|	putative methylase	pO157p38	NA
gi|10955307|ref|NP_052648.1|	hypothetical protein pO157p41	pO157p41	NA
gi|10955306|ref|NP_052647.1|	hypothetical protein pO157p40	pO157p40	NA
gi|10955301|ref|NP_052642.1|	reverse transcriptase	pO157p35	NA
gi|10955300|ref|NP_052641.1|	plasmid-partitioning protein	pO157p34	sopB
gi|10955303|ref|NP_052644.1|	hypothetical protein pO157p37	pO157p37	NA
gi|10955302|ref|NP_052643.1|	hypothetical protein pO157p36	pO157p36	NA
gi|15833937|ref|NP_312710.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein GidA	ECs4683	NA
gi|15832731|ref|NP_311504.1|	inorganic polyphosphate/ATP-NAD kinase	ECs3477	ppnK
gi|15831556|ref|NP_310329.1|	transporter	ECs2302	NA
gi|15830029|ref|NP_308802.1|	translocation protein TolB	ECs0775	tolB
gi|15830028|ref|NP_308801.1|	cell envelope integrity inner membrane protein TolA	ECs0774	tolA
gi|15830027|ref|NP_308800.1|	colicin uptake protein TolR	ECs0773	NA
gi|15830026|ref|NP_308799.1|	colicin uptake protein TolQ	ECs0772	NA
gi|15830025|ref|NP_308798.1|	acyl-CoA thioester hydrolase	ECs0771	NA
gi|15830024|ref|NP_308797.1|	hypothetical protein ECs0770	ECs0770	NA
gi|15830023|ref|NP_308796.1|	cytochrome d terminal oxidase polypeptide subunit II	ECs0769	NA
gi|15830022|ref|NP_308795.1|	cytochrome d terminal oxidase polypeptide subunit I	ECs0768	NA
gi|15830021|ref|NP_308794.1|	hypothetical protein ECs0767	ECs0767	NA
gi|15830020|ref|NP_308793.1|	hypothetical protein ECs0766	ECs0766	NA
gi|15831561|ref|NP_310334.1|	transporter	ECs2307	tqsA
gi|15831560|ref|NP_310333.1|	multidrug efflux system protein MdtJ	ECs2306	NA
gi|15831563|ref|NP_310336.1|	NAD(P) transhydrogenase subunit alpha	ECs2309	pntA
gi|15831562|ref|NP_310335.1|	pyridine nucleotide transhydrogenase	ECs2308	pntB
gi|15831565|ref|NP_310338.1|	arginine/ornithine antiporter	ECs2311	NA
gi|15831564|ref|NP_310337.1|	hypothetical protein ECs2310	ECs2310	NA
gi|15831567|ref|NP_310340.1|	hypothetical protein ECs2313	ECs2313	NA
gi|15831566|ref|NP_310339.1|	short chain dehydrogenase	ECs2312	NA
gi|15831569|ref|NP_310342.1|	sensor protein RstB	ECs2315	NA
gi|15831568|ref|NP_310341.1|	DNA-binding transcriptional regulator RstA	ECs2314	NA
gi|15832741|ref|NP_311514.1|	hypothetical protein ECs3487	ECs3487	NA
gi|15832994|ref|NP_311767.1|	xanthine dehydrogenase subunit XdhB	ECs3740	NA
gi|15834018|ref|NP_312791.1|	hypothetical protein ECs4764	ECs4764	NA
gi|15834019|ref|NP_312792.1|	ubiquinone biosynthesis protein UbiB	ECs4765	ubiB
gi|15833111|ref|NP_311884.1|	hypothetical protein ECs3857	ECs3857	NA
gi|15833498|ref|NP_312271.1|	transport	ECs4244	NA
gi|15831848|ref|NP_310621.1|	chemotaxis methyltransferase CheR	ECs2594	NA
gi|15834313|ref|NP_313086.1|	glutamate/aspartate:proton symporter	ECs5059	gltP
gi|15831849|ref|NP_310622.1|	methyl-accepting protein IV	ECs2595	NA
gi|15833608|ref|NP_312381.1|	phosphotransferase system HPr enzyme	ECs4354	NA
gi|15833455|ref|NP_312228.1|	glutathione-regulated potassium-efflux system protein KefB	ECs4201	NA
gi|15832630|ref|NP_311403.1|	histidyl-tRNA synthetase	ECs3376	hisS
gi|15830957|ref|NP_309730.1|	dihydroxyacetone kinase subunit DhaM	ECs1703	NA
gi|15832631|ref|NP_311404.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	ECs3377	ispG
gi|15833386|ref|NP_312159.1|	tRNA-dihydrouridine synthase B	ECs4132	NA
gi|15832997|ref|NP_311770.1|	aspartate/ornithine carbamoyltransferase	ECs3743	NA
gi|15832107|ref|NP_310880.1|	phosphomannomutase	ECs2853	NA
gi|41223302|ref|NP_958727.1|	hypothetical protein ECp088.2c	ECp088.2c	NA
gi|41223301|ref|NP_958726.1|	hypothetical protein ECp072	ECp072	NA
gi|41223300|ref|NP_958725.1|	hypothetical protein ECp070	ECp070	NA
gi|10955271|ref|NP_052612.1|	EtpG	pO157p06	etpG
gi|10955270|ref|NP_052611.1|	EtpF	pO157p05	etpF
gi|10955273|ref|NP_052614.1|	EtpI	pO157p08	etpI
gi|10955272|ref|NP_052613.1|	EtpH	pO157p07	etpH
gi|10955275|ref|NP_052616.1|	EtpK	pO157p10	etpK
gi|10955274|ref|NP_052615.1|	EptJ	pO157p09	etpJ
gi|10955277|ref|NP_052618.1|	EtpM	pO157p12	etpM
gi|10955276|ref|NP_052617.1|	EtpL	pO157p11	etpL
gi|10955279|ref|NP_052620.1|	EptO	pO157p14	etpO
gi|10955278|ref|NP_052619.1|	EptN	pO157p13	etpN
gi|15830799|ref|NP_309572.1|	hypothetical protein ECs1545	ECs1545	NA
gi|15830798|ref|NP_309571.1|	portal protein	ECs1544	NA
gi|15833454|ref|NP_312227.1|	FKBP-type peptidylprolyl isomerase	ECs4200	NA
gi|15834501|ref|NP_313274.1|	hypothetical protein ECs5247	ECs5247	NA
gi|162139810|ref|NP_308436.2|	nucleoprotein/polynucleotide-associated enzyme	ECs0409	NA
gi|162139811|ref|NP_308435.2|	3-hydroxyphenylpropionic transporter MhpT	ECs0408	NA
gi|162139812|ref|NP_308369.2|	pyridine nucleotide-disulfide oxidoreductase	ECs0342	NA
gi|162139813|ref|NP_308275.2|	acyl-CoA dehydrogenase	ECs0248	fadE
gi|162139814|ref|NP_308204.2|	CDP-diglyceride synthase	ECs0177	cdsA
gi|162139815|ref|NP_308175.2|	glutamyl-Q tRNA(Asp) synthetase	ECs0148	NA
gi|15829661|ref|NP_308434.1|	4-hydroxy-2-ketovalerate aldolase	ECs0407	NA
gi|15829660|ref|NP_308433.1|	acetaldehyde dehydrogenase	ECs0406	NA
gi|162139818|ref|NP_308128.2|	SecA regulator SecM	ECs0101	NA
gi|162139819|ref|NP_308107.2|	leucine transcriptional activator	ECs0080	leuO
gi|15830159|ref|NP_308932.1|	molybdopterin biosynthesis protein MoeA	ECs0905	NA
gi|15830158|ref|NP_308931.1|	molybdopterin biosynthesis protein MoeB	ECs0904	NA
gi|38704048|ref|NP_310906.2|	chaperonin	ECs2879	NA
gi|38704049|ref|NP_310915.2|	hypothetical protein ECs2888	ECs2888	NA
gi|15829669|ref|NP_308442.1|	periplasmic-iron-binding protein	ECs0415	NA
gi|15829668|ref|NP_308441.1|	ferric transport system permease	ECs0414	NA
