all genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC screening 05082013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,,output pool 1,,,input pool 2,,,output pool 2,,,input pool 3,,,output pool 3,,,BAC2B24,,,BAC2B5,,,,,,,,,
A_07_P052967,1,A,20.4127,0.6700688,A,10.59877,1,A,11.22587,0.62100303,A,3.689,1,P,37.87951,0.37006065,A,18.69564,0.97240853,A,14.68713,2.3598151,A,35.08108,,ECs2996,putative single-stranded DNA binding protein,,,916700,ECs2996
A_07_P038683,1,A,6.050983,1.2983861,A,6.087871,1,P,66.63097,0.104625516,A,4.745049,1,A,6.068051,8.4545145,A,68.42282,0.79380697,A,7.434756,5.461345,P,50.34523,,,,,,,c_1601
A_07_P052958,1,A,5.796906,1.1131101,A,4.67421,0.99999994,A,10.7014,0.7716338,A,5.922541,1,A,15.97266,4.3166485,A,91.95747,0.90479404,A,8.208627,1.095206,A,9.779653,,ECs2993,putative regulatory protein,,,916698,ECs2993
A_07_P038676,1,A,18.49775,1.270856,A,18.21591,1,P,101.2828,0.1426858,A,10.36508,1,A,19.68858,0.522865,A,13.72989,1.1661166,A,21.59631,0.8501606,A,15.49692,,sitA,SitA protein,,,1035361,c_1600
A_07_P038673,1,A,5.243976,1.2304775,A,4.226263,1,P,121.6679,0.057297774,A,3.440044,1,A,5.884286,15.069864,P,118.2677,0.91363126,A,7.286287,1.0863687,A,8.527454,,sitB,SitB protein,,,1035359,c_1599
A_07_P052949,1,A,8.138299,1.6143786,A,10.18063,1,A,9.725,0.7168431,A,3.417729,1,P,71.03003,0.17700782,A,16.76863,0.9393515,A,9.182487,11.565637,P,111.2778,,ECs2992,hypothetical protein,,,916696,ECs2992
A_07_P052942,1,A,19.51202,0.33069837,A,4.692497,1,A,25.85356,0.26964566,A,3.579236,1,P,49.32082,0.25401106,A,16.70883,0.84880084,A,10.9387,0.7478364,A,9.485786,,ECs2991,hypothetical protein,,,916695,ECs2991
A_07_P040978,1,A,6.851381,1.1484243,A,6.096999,1,P,129.6021,0.05379002,A,3.051902,1,A,5.311123,1.9669117,A,13.93267,0.8987526,A,6.560699,1.0610927,A,7.623775,,,,,,,c_1435
A_07_P038667,1,A,14.68085,0.8697547,A,9.894266,1,A,12.51457,1.2403313,A,11.13294,1,A,10.02362,6.393774,P,85.47616,0.82702523,A,11.11599,1.0846115,A,14.34863,,sitC,SitC protein,,,1035358,c_1598
A_07_P052936,1,A,8.462442,0.76249784,A,3.43738,1,A,8.007831,0.87056035,A,2.857906,0.99999994,P,51.7105,0.17871945,A,12.32576,1.6271315,A,20.403,1.6265006,A,20.07393,,ECs2990,putative prophage repressor CI,,,916694,ECs2990
A_07_P052931,1,A,12.98429,0.85676533,A,8.620168,0.99999994,P,93.91949,0.074226335,A,3.163529,1,P,75.01406,0.15093516,A,15.10067,0.56079113,A,6.939105,1.2021449,A,14.64084,,ECs2989,putative regulatory protein,,,916693,ECs2989
A_07_P038656,1,A,6.344078,1.0171052,A,4.386175,1,A,9.379138,0.7432772,A,3.268146,1,A,5.83014,2.0783377,A,16.16063,1.0812765,A,9.657286,0.96756315,A,8.50559,,,,,,,c_1596
A_07_P052928,1,A,5.619775,1.1481946,A,4.560503,1,A,11.66526,0.597612,A,3.720598,0.99999994,P,42.50077,0.3383072,A,19.17658,0.84023905,A,8.308978,1.3069615,A,12.7208,,ECs2988,regulatory protein CII,,,916692,ECs2988
A_07_P052921,1,A,7.061255,0.91380274,A,4.498742,1,A,10.49405,0.6643098,A,4.14203,1,A,6.285953,1.9143999,A,16.0497,0.8950582,A,7.784794,1.1049418,A,9.458932,,ECs2987,phage replication protein O,,,916691,ECs2987
A_07_P038648,1,A,15.00891,0.4299176,A,4.575964,0.99999994,A,10.66741,1.3864988,A,10.60803,1,A,18.37825,0.7208639,A,17.66935,0.6132623,A,7.957994,1.5730289,A,20.09097,,,,,,,c_1594
A_07_P040951,1,A,4.717903,1.2905189,A,3.728911,1,A,8.669099,0.8041551,A,3.667232,1,A,5.263379,2.034474,A,14.2817,0.8862458,A,6.48316,1.0630854,A,7.654337,,,,,,,c_1430
A_07_P038645,1,A,13.13895,0.49110427,A,4.605519,1,A,10.33608,0.6744627,A,3.72811,0.99999994,A,6.443558,45.52943,P,391.2741,0.81302077,A,8.011793,0.98622686,A,9.56559,,,,,,,c_1593
A_07_P040949,0.99999994,A,6.701935,1.4655851,A,7.611091,1,A,8.877287,0.96664685,A,6.154664,0.99999994,A,5.387892,1.9600598,A,14.08482,3.355837,A,31.18525,1.0608157,A,9.702757,,ycgW,hypothetical protein,,,1035144,c_1429
A_07_P052902,1,A,4.284278,1.2905189,A,3.454867,1,P,45.04457,0.2692767,A,8.699564,1,P,84.37049,0.13491622,A,15.18161,0.3738487,A,6.100279,1.2691869,A,20.38385,,ECs2983,hypothetical protein,,,916687,ECs2983
A_07_P034233,1,A,4.943462,1.2905189,A,4.02625,1,A,9.21551,0.7564747,A,3.300766,1,A,5.653134,2.1897123,A,16.50971,0.90670943,A,6.975318,1.0932906,A,8.278246,,,,,,,c_4020
A_07_P034225,1,A,9.630781,0.669997,A,3.870038,0.99999994,A,22.6963,0.3071558,A,2.843265,1,A,4.934223,1.846994,A,12.31682,0.8336481,A,6.034259,0.9883541,A,7.041425,,,,,,,c_4017
A_07_P033764,1,A,21.84666,0.5999864,A,10.15692,0.99999994,A,12.06485,0.9602337,A,8.309122,1,A,11.53283,1.2223564,A,18.80169,0.66462296,A,8.372831,1.0584491,A,13.12423,,potF,putrescine transporter subunit: periplasmic-binding component of ABC superfamily,,,1038465,c_0987
A_07_P033759,1,A,13.4986,0.47801954,A,4.202007,1,A,9.598435,0.7262955,A,3.371118,1,A,9.700144,1.2336706,A,15.96028,1.0580931,A,11.52956,1.7854378,A,19.14875,,ogrK,Prophage P2 OGR protein,,,1038434,c_0979
A_07_P033753,1,A,5.205651,1.2395364,A,4.179432,1,A,25.35709,0.27492508,A,3.372995,1,A,6.048828,1.9333221,A,15.59691,0.847841,A,7.408409,1.1521589,A,9.908998,,,,,,,c_0978
A_07_P033748,0.99999994,A,12.39897,0.52041376,A,4.205588,1,A,9.629679,0.723939,A,3.385851,1,A,15.63184,0.78836757,A,16.43622,0.7798601,A,7.367665,2.1668732,A,20.149,,,,,,,c_0977
A_07_P033743,1,A,6.418524,1.7496878,A,8.702246,1,A,12.56897,1.7460306,A,15.74011,1,A,6.939806,1.7407637,A,16.11203,0.9774695,A,11.8126,0.8014523,A,9.532939,,,,,,,c_0976
A_07_P033731,1,A,17.67358,0.6958556,A,9.529701,1,A,10.29846,0.9006201,A,6.652275,0.99999994,A,6.450597,2.2583625,A,19.42928,22.269464,P,283.3487,31.863512,P,399.0359,,,,,,,c_0974
A_07_P033727,1,A,4.365092,1.6098567,A,6.237246,1,P,54.67415,0.12750635,A,3.185864,1,A,5.184636,1.908208,A,13.19493,0.76955235,A,6.35122,2.8157277,A,22.87265,,,,,,,c_0973
A_07_P033723,1,A,4.911731,1.2905189,A,4.004063,1,A,9.167719,0.7604182,A,3.282129,1,A,5.622613,2.17875,A,16.33837,0.9067477,A,6.936654,1.0932523,A,8.231724,,,,,,,c_0972
A_07_P033717,1,A,19.39638,0.8523046,A,12.81006,1,A,9.007515,0.77394265,A,3.222449,1,A,5.618536,5.179899,A,38.81572,0.7208564,A,6.962025,0.8600155,A,8.175229,,,,,,,c_0971
A_07_P033715,1,A,22.53633,0.48837185,A,8.528437,1,A,8.503256,1.4675279,A,8.950099,1,A,20.62295,0.49772108,A,13.68989,0.63414824,A,6.543415,0.7465212,A,7.58163,,,,,,,c_0970
A_07_P039018,1,A,4.57328,1.2905189,A,3.739822,1,A,8.566177,0.81381685,A,3.049089,1,A,10.67466,1.1036172,A,15.71215,1.0204303,A,8.773118,1.6523099,A,13.98199,,,,,,,c_4618
A_07_P033706,1,A,11.28238,0.57191783,A,4.00984,1,A,9.822546,9.479822,P,66.78524,1,A,6.082317,2.0393367,A,16.54326,0.731686,A,7.50294,1.0582488,A,10.68074,,yfdK,Hypothetical protein yfdK,,,1038348,c_0969
A_07_P033704,0.99999994,A,8.110091,0.96865064,A,6.087354,1,A,8.45968,0.82406193,A,3.023426,0.99999994,A,5.326313,1.9187572,A,13.63044,0.8582659,A,6.510348,1.1365533,A,8.485531,,,,,,,c_0968
A_07_P052891,1,A,6.09803,1.0581441,A,4.799393,1,A,11.36246,0.6135379,A,3.966045,1,P,62.14791,5.237347,P,434.1112,0.8948706,A,8.501494,1.1051294,A,10.33368,,ECs2981,putative DNA methylase,,,916685,ECs2981
A_07_P052876,1,A,6.079707,2.3880992,A,11.25047,1,P,234.3874,0.2513585,P,42.25558,1,P,57.46049,3.5493762,P,272.0098,0.34969977,A,23.23803,1.1283488,P,73.79963,,ECs2977,hypothetical protein,,,916681,ECs2977
A_07_P052874,1,A,10.20695,1.5185462,A,12.01046,1,P,378.6879,0.28541112,P,77.51908,1,P,121.9897,0.14354345,A,23.35445,0.54635566,P,39.9382,1.7728758,P,127.5552,,ECs2976,hypothetical protein,,,916680,ECs2976
A_07_P052866,1,A,18.84051,0.5747729,A,8.39121,1,P,53.0418,0.56109494,P,21.34572,1,A,17.65827,0.6802993,A,16.0218,1.2036674,A,35.55701,1.0094997,A,29.3516,,ECs2975,antitermination protein,,,916679,ECs2975
A_07_P052863,1,A,16.96472,0.4973374,A,6.537827,1,P,276.1262,0.39457235,P,78.14307,1,P,133.5357,0.08765301,A,15.61088,0.6378098,A,27.38856,1.3621901,P,57.57349,,ECs2974,Shiga toxin I subunit A precursor,,,916678,ECs2974
A_07_P040893,1,A,10.168194,1.0458024,A,8.240035,1,A,17.256437,0.4651649,A,5.75724,0.99999994,A,10.523055,51.541737,M,723.376,0.82859325,A,7.044799,1.0490136,A,8.778396,,,,,,,c_1414
A_07_P052857,1,A,14.45124,0.47765335,A,5.348766,1,P,368.5808,0.41060445,P,108.5457,1,P,168.4218,0.1405856,A,31.57928,0.49780792,P,49.30734,1.5378736,P,149.9261,,ECs2973,Shiga toxin I subunit B precursor,,,916677,ECs2973
A_07_P040881,1,A,4.773938,1.2905189,A,3.863457,1,A,9.051853,3.0403986,P,19.73896,1,A,5.723694,1.9092159,A,14.57453,0.7924723,A,6.965783,0.98755723,A,8.543877,,,,,,,c_1412
A_07_P052845,1,A,5.568554,1.1587559,A,4.500688,1,A,54.4656,0.6111711,P,23.87489,1,A,23.57995,0.6058227,A,19.05248,0.35294294,A,8.194072,0.8544537,A,19.52498,,ECs2964,hypothetical protein,,,916668,ECs2964
A_07_P038569,1,A,4.207009,1.2905189,A,3.472036,1,A,12.2405,0.5695274,A,2.871374,1,A,4.979212,1.8849782,A,12.57012,0.75473696,A,6.099228,1.6600108,A,13.20374,,,,,,,c_1577
A_07_P040872,1,A,4.196108,1.2905189,A,3.451313,1,A,20.26871,0.78523016,A,11.41509,1,A,5.076856,1.8006816,A,12.19256,1.0796508,A,17.63451,1.452469,A,23.35037,,,,,,,c_1410
A_07_P038564,1,A,19.14687,0.71091986,A,10.54761,1,A,22.47495,0.7538512,A,12.1518,1,A,10.34612,1.1772673,A,16.24485,0.46697354,A,7.28838,0.556956,A,8.555915,,,,,,,c_1576
A_07_P052835,1,A,18.8444,0.8847228,A,12.91889,1,P,848.1739,0.13552329,P,82.44325,1,P,152.291,0.35092562,A,71.27749,0.3347269,A,31.21919,0.93321323,P,85.66803,,ECs2962,hypothetical protein,,,916666,ECs2962
A_07_P038556,1,A,4.297229,1.8946229,A,7.340547,1,A,8.240466,0.84598374,A,2.93019,1,A,5.234588,1.8480071,A,12.90177,1.0934576,A,8.575633,0.9669856,A,7.464335,,,,,,,c_1575
A_07_P052812,1,A,21.00522,0.5761819,A,9.378265,0.99999994,P,127.7684,0.38820034,P,35.57424,0.99999994,P,82.40989,0.14972742,A,16.45674,0.43285358,A,15.52558,3.4105153,P,120.402,,ECs2956,hypothetical membrane protein,,,916660,ECs2956
A_07_P034177,1,A,14.29996,0.77431726,A,8.580042,1,A,9.3095,1.2012111,A,8.020509,1,A,5.792475,2.1734235,A,16.79081,0.6647512,A,7.198236,1.266475,A,13.49803,,degS,serine endoprotease,,,1040366,c_3990
A_07_P052808,1,A,4.787672,1.2905189,A,3.954016,1,P,280.4317,0.5448012,P,109.5775,1,P,83.27926,0.42590177,A,47.30526,0.3362706,A,18.30346,0.7868307,A,42.15338,,ECs2955,hypothetical protein,,,916658,ECs2955
A_07_P038523,1,A,4.343208,1.2905189,A,3.562195,1,A,8.215237,0.8485818,A,3.947827,1,A,5.23037,1.819154,A,12.6901,0.87919426,A,6.330877,1.0481827,A,7.428872,,nohA,Prophage Qin DNA packaging protein NU1 homolog,,,1035320,c_1568
A_07_P038518,1,A,11.52075,0.5600845,A,4.306105,1,A,9.728152,0.7166109,A,3.981685,1,A,6.035849,2.2684278,A,18.26108,0.84053576,A,7.485403,1.0163742,A,8.908807,,,,,,,c_1567
A_07_P038514,1,A,22.72261,0.57406163,A,10.1077,1,A,13.53075,0.51521903,A,4.710996,1,A,15.06381,0.81230074,A,16.3198,1.0731968,A,20.0059,2.182017,A,40.03536,,,,,,,c_1565
A_07_P033697,0.99999994,A,13.13642,1.3876935,A,14.12558,1,A,10.31923,0.675564,A,3.660294,1,A,6.384446,10.664375,A,90.80751,0.72534186,A,7.990191,1.5778024,A,17.107,,,,,,,c_0967
A_07_P033694,0.99999994,A,12.42027,0.51952124,A,4.537403,1,A,10.45076,1.9422629,A,14.55835,0.99999994,A,18.54215,0.68934315,A,17.04742,1.0749516,A,23.18992,1.3440083,A,28.53771,,,,,,,c_0966
A_07_P033690,0.99999994,A,14.09291,0.45786104,A,4.150831,1,A,9.803742,1.2455719,A,8.758242,0.99999994,A,5.999502,2.0613904,A,16.49448,0.97584903,A,10.21004,0.83757937,A,8.625367,,,,,,,c_0965
A_07_P033681,1,A,17.21747,0.5902811,A,7.875241,1,P,58.35258,0.26913714,A,11.26393,1,A,5.961692,1.9244243,A,15.30148,0.99440056,A,12.94535,0.8104697,A,10.38475,,,,,,,c_0964
A_07_P033673,1,A,21.09026,1.0834706,A,17.70658,1,A,15.8248,1.255952,A,14.25501,1,A,9.464765,17.924662,P,226.2684,0.6508754,A,11.38877,1.693172,A,29.15996,,,,,,,c_0962
A_07_P033669,1,A,10.46762,0.6164338,A,3.874473,1,A,8.839056,0.7886928,A,4.142299,1,A,5.518418,2.0537043,A,15.11526,0.96838546,A,8.157473,1.1123489,A,9.222639,,,,,,,c_0961
A_07_P033665,1,A,6.062912,1.0753052,A,5.051829,0.99999994,A,11.1099,0.62748533,A,3.962468,1,A,6.759836,1.9036889,A,17.16308,0.88541704,A,8.265132,1.114583,A,10.2405,,,,,,,c_0960
A_07_P033652,1,A,11.68176,1.9486296,A,17.63897,1,A,13.44137,0.73439646,A,7.079953,1,A,6.650236,18.523796,P,164.2972,0.82265514,A,10.52829,1.6333692,A,20.57459,,,,,,,c_0958
A_07_P033639,1,A,15.70867,1.1614149,A,14.13717,0.99999994,A,9.625336,0.7242656,A,4.222862,1,A,6.263924,3.7690141,A,31.48744,0.565088,A,6.669662,6.441823,P,74.83476,,,,,,,c_0955
A_07_P033623,1,A,4.485569,1.5364605,A,5.952879,1,P,401.241,0.017374344,A,3.365881,0.99999994,A,5.236091,1.9471151,A,13.59759,0.8923877,A,6.462572,1.0535868,A,7.509812,,,,,,,c_0952
A_07_P033614,1,A,23.19576,1.4337108,P,25.76949,1,A,11.24115,2.6341114,P,21.23739,1,A,15.06254,0.91875124,A,18.45692,1.5552171,P,41.84054,3.3681016,P,89.18633,,,,,,,c_0950
A_07_P033608,1,A,4.959079,1.2905189,A,4.024304,1,A,40.78911,0.17091082,A,3.270873,0.99999994,A,5.636219,2.062142,A,15.50135,0.91740716,A,7.048613,1.082593,A,8.186789,,,,,,,c_0949
A_07_P033602,1,A,11.55558,1.5848451,A,14.19104,0.99999994,P,587.5955,0.02444318,A,10.30131,1,A,27.43942,0.5286552,A,19.34686,0.499028,A,9.270742,1.2399094,A,22.67182,,,,,,,c_0948
A_07_P038497,1,A,22.06944,0.37785006,A,6.461695,1,A,11.55191,0.7175296,A,5.944973,1,A,6.126109,2.0640523,A,16.86431,0.7297439,A,7.192754,0.84774673,A,8.224277,,nmpC,Outer membrane porin protein nmpC precursor,,,1035311,c_1560
A_07_P038492,0.99999994,A,10.8942,0.59229624,A,4.67603,1,A,9.557356,2.1874712,A,14.99465,1,A,15.71412,0.740115,A,15.51145,0.79341584,A,7.381527,0.99002343,A,9.065623,,,,,,,c_1556
A_07_P038490,1,A,8.979736,0.71857285,A,4.687157,0.99999994,A,12.48403,0.5584174,A,3.844665,1,A,26.46921,0.5307641,A,18.73724,0.8912797,A,8.409893,1.1087201,A,10.29687,,,,,,,c_1555
A_07_P038465,0.99999994,A,10.53324,0.6836429,A,5.579907,0.99999994,A,10.0861,0.6911789,A,3.748224,1,A,10.92903,1.3007121,A,18.95946,1.18967,A,14.55817,1.7709146,A,21.3297,,,,,,,c_1548
A_07_P058036,1,A,6.581787,0.9803712,A,4.397128,1,A,9.854422,0.70742863,A,4.084822,1,A,6.276456,1.9921887,A,16.67662,0.9054243,A,6.746581,1.080184,A,7.922025,,ECs4953,hypothetical protein,,,914830,ECs4953
A_07_P058034,1,A,11.95219,0.5398671,A,4.059942,1,A,9.261037,0.8022537,A,5.328778,1,A,5.764995,2.1229007,A,16.32269,0.81282526,A,7.155885,0.96773905,A,8.385545,,ECs4952,putative host-nuclease inhibitor protein,,,914828,ECs4952
A_07_P038456,1,A,7.02241,0.9188576,A,3.769478,1,A,9.213584,0.84716344,A,5.598247,0.99999994,A,5.665847,2.1045275,A,15.90313,0.8462184,A,6.983864,1.0701746,A,8.693101,,,,,,,c_1547
A_07_P058029,1,A,7.6558,0.8428374,A,4.894583,1,M,588.2949,0.011850009,A,3.176859,1,A,5.654308,2.0115771,A,15.16978,0.90375,A,6.936468,1.0962502,A,8.281454,,ECs4951,hypothetical protein,,,914827,ECs4951
A_07_P058025,1,A,11.88567,0.5428886,A,3.726206,1,P,94.18817,0.07401461,A,4.816087,1,A,5.452219,1.9168662,A,13.93889,0.95514613,A,8.261256,0.9205099,A,7.836309,,ECs4950,hypothetical protein,,,914836,ECs4950
A_07_P038448,1,A,12.83828,0.50271964,A,5.001132,0.99999994,A,10.4027,0.77882266,A,5.810867,1,A,6.324818,2.1054277,A,17.76035,0.8149718,A,7.745964,0.9729724,A,9.102072,,,,,,,c_1545
A_07_P038443,1,A,5.688642,1.1342944,A,4.622323,0.99999994,A,11.09629,0.7229271,A,5.753453,1,A,9.913018,1.3870767,A,18.33874,2.713141,A,39.83539,1.6510464,A,23.85958,,,,,,,c_1544
A_07_P058011,1,A,13.0328,0.6773096,A,6.84007,0.99999994,A,20.54689,0.5871712,A,8.653008,1,A,7.971088,1.1905445,A,12.65687,0.93207896,A,12.95241,1.8609958,A,25.45365,,ECs4948,hypothetical protein,,,914834,ECs4948
A_07_P038439,1,A,10.1748,0.63417405,A,4.406439,1,A,8.877188,0.785305,A,3.080229,0.99999994,A,21.19277,0.50987184,A,14.41159,3.688664,A,30.85099,0.95649576,A,7.8739,,,,,,,c_1543
A_07_P058001,0.99999994,A,13.29109,1.1590714,A,11.93731,1,P,176.9745,0.08816033,A,11.19026,0.99999994,A,13.03195,0.8920142,A,15.50402,1.0107743,A,15.67334,0.908383,A,13.86383,,ECs4946,putative DNA transposition protein,,,914840,ECs4946
A_07_P038427,1,A,9.753127,0.66159236,A,4.606323,1,A,10.82202,0.8253816,A,6.406478,1,P,39.07927,0.34980375,A,18.23199,1.0837483,A,12.58464,1.6142274,A,18.44947,,,,,,,c_1541
A_07_P038423,1,A,17.32503,1.3356724,A,17.93121,1,A,9.362417,2.18018,A,14.63985,1,P,67.96722,0.18321434,A,16.60818,0.42433462,A,6.790954,0.90058994,A,14.18588,,,,,,,c_1540
A_07_P038419,1,A,20.60617,0.31313896,A,3.687709,1,A,8.751577,0.7965763,A,3.098028,1,P,31.00165,0.3459492,A,14.30409,0.60501456,A,6.742126,1.227899,A,13.46792,,,,,,,c_1538
A_07_P038414,1,A,14.21503,0.5772846,A,6.358773,1,A,33.08066,0.558881,A,13.26019,1,P,33.27104,1.1052334,A,49.04373,0.50835955,A,10.65955,1.1331489,A,23.38631,,gamW,Putative host-nuclease inhibitor protein Gam of bacteriphage,,,1035279,c_1537
A_07_P037992,1,A,14.0502,1.2129501,A,13.20569,1,A,21.613,0.38802567,A,6.014947,1,A,16.21639,0.6955848,A,15.04414,0.7803229,A,13.43548,2.5918443,P,43.92326,,,,,,,c_5193
A_07_P037980,1,A,7.784095,1.1035253,A,6.656195,1,A,9.586971,0.727164,A,4.242727,1,A,7.347119,1.8253695,A,17.88673,2.4984055,A,28.86139,2.3290365,A,26.48119,,papI_2,PapI protein,,,1037573,c_5189
A_07_P037973,0.99999994,A,7.922324,0.81448245,A,3.814802,1,A,9.015082,1.060535,A,6.857265,1,A,5.356737,15.016246,P,107.2815,0.7910511,A,6.63185,0.9427968,A,7.779561,,papA_2,PapA protein,,,1037576,c_5188
A_07_P037957,1,A,5.677027,5.50602,P,24.22113,1,A,10.20912,0.93107885,A,6.817592,1,A,6.359484,1.8781993,A,15.9304,0.7802521,A,7.870887,1.0050106,A,9.978521,,papD_2,PapD protein,,,1037581,c_5185
A_07_P033591,1,A,14.01818,0.46030185,A,4.074324,1,A,9.318999,0.94602937,A,6.323101,0.99999994,A,5.541787,2.215741,A,16.37691,1.0253981,A,9.639475,0.9682618,A,8.95902,,,,,,,c_0946
A_07_P037942,1,A,12.80754,1.2020717,A,11.92976,0.99999994,A,10.36379,0.67265934,A,4.363606,1,A,22.44263,0.57746637,A,17.28477,0.7561055,A,7.533543,0.8981714,A,8.808115,,,,,,,c_5176
A_07_P033586,1,A,5.082751,1.2695084,A,4.11291,1,P,92.63628,0.3225111,P,21.42802,0.99999994,A,6.131373,2.0796194,A,17.0061,0.73708826,A,7.509945,0.879634,A,8.821168,,,,,,,c_0945
A_07_P033584,1,A,21.85065,0.7632829,A,12.92366,1,A,18.00124,0.46805346,A,6.043021,1,A,21.47304,0.6393611,A,18.31061,1.0105836,A,16.96937,0.94259125,A,15.57843,,,,,,,c_0944
A_07_P037938,0.99999994,A,7.027776,0.9647138,A,5.25354,1,A,9.288629,0.7505198,A,3.200139,1,A,5.455889,9.071107,A,66.00684,0.90288466,A,6.7228,1.0795194,A,7.911434,,,,,,,c_5174
A_07_P037933,1,A,5.988432,1.8790892,A,8.719592,1,A,10.10634,0.68979466,A,3.534148,1,A,19.63065,0.6422689,A,16.81569,1.3649706,A,21.3571,2.21557,A,34.12018,,,,,,,c_5173
A_07_P033579,1,A,13.52835,1.1088178,A,11.6236,1,A,20.91286,0.48246107,A,7.236557,1,A,5.614534,1.9903677,A,14.90425,0.6632315,A,6.877367,0.8050638,A,8.216639,,,,,,,c_0943
A_07_P041180,1,A,5.19673,3.0359936,A,12.2255,0.99999994,A,19.07181,0.42644733,A,5.83329,1,A,6.120975,2.0142372,A,16.4435,0.8738597,A,8.905252,0.88175875,A,8.844253,,topB,DNA topoisomerase III,,,1036602,c_2166
